GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE
0042400404,1610612760,OKC,Oklahoma City,1631114,Jalen Williams,Jalen,F,,35.000000:48,106.4,106.5,105.6,106.5,0.8,0.0,0.176,0.75,10.0,0.033,0.171,0.108,13.3,0.444,0.591,0.318,0.325,103.72,103.24,86.03,77,0.163
0042400404,1610612760,OKC,Oklahoma City,1631096,Chet Holmgren,Chet,F,,37.000000:11,110.7,106.3,91.8,91.0,18.9,15.2,0.042,1.0,7.1,0.118,0.268,0.2,7.1,0.444,0.601,0.144,0.152,99.45,101.98,84.98,80,0.17
0042400404,1610612760,OKC,Oklahoma City,1628392,Isaiah Hartenstein,Isaiah,C,,21.000000:14,118.8,118.6,126.9,126.1,-8.0,-7.5,0.188,3.0,42.9,0.158,0.158,0.158,14.3,0.333,0.333,0.078,0.08,100.17,100.57,83.81,43,0.05
0042400404,1610612760,OKC,Oklahoma City,1629652,Luguentz Dort,Luguentz,G,,32.000000:35,117.8,117.9,107.9,110.1,9.9,7.8,0.0,0.0,0.0,0.0,0.107,0.056,25.0,1.25,1.042,0.053,0.053,101.29,100.17,83.48,67,0.037
0042400404,1610612760,OKC,Oklahoma City,1628983,Shai Gilgeous-Alexander,Shai,G,,40.000000:09,116.2,112.3,107.1,111.0,9.1,1.4,0.0,0.0,0.0,0.0,0.075,0.041,6.7,0.521,0.616,0.326,0.34,97.64,97.45,81.21,81,0.173
0042400404,1610612760,OKC,Oklahoma City,1627936,Alex Caruso,Alex,,,30.000000:24,114.5,114.3,87.4,87.9,27.1,26.4,0.0,0.0,0.0,0.087,0.032,0.056,15.4,0.833,0.828,0.188,0.192,102.03,101.84,84.86,63,0.215
0042400404,1610612760,OKC,Oklahoma City,1630598,Aaron Wiggins,Aaron,,,8.000000:12,107.2,110.0,82.8,81.0,24.4,29.0,0.143,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.129,0.174,0.178,120.12,120.0,100.0,20,-0.043
0042400404,1610612760,OKC,Oklahoma City,1641717,Cason Wallace,Cason,,,18.000000:37,90.6,91.9,90.3,94.9,0.3,-3.0,0.167,2.0,25.0,0.0,0.087,0.047,12.5,0.2,0.2,0.14,0.141,101.21,98.01,81.68,37,-0.057
0042400404,1610612760,OKC,Oklahoma City,1630198,Isaiah Joe,Isaiah,,,4.000000:33,157.7,155.6,121.5,100.0,36.2,55.6,0.0,0.0,0.0,0.0,0.167,0.091,0.0,0.0,0.0,0.083,0.084,98.81,110.61,92.17,9,-0.049
0042400404,1610612760,OKC,Oklahoma City,1629026,Kenrich Williams,Kenrich,,,11.000000:17,115.5,119.0,75.8,81.8,39.8,37.2,0.125,1.0,16.7,0.182,0.071,0.12,16.7,0.5,0.5,0.185,0.188,96.57,91.46,76.22,21,0.154
0042400404,1610612760,OKC,Oklahoma City,1631172,Ousmane Dieng,Ousmane,,DNP - Coach's Decision,,,0.0,,0.0,,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,,,,0,
0042400404,1610612760,OKC,Oklahoma City,1641794,Dillon Jones,Dillon,,DNP - Coach's Decision,,,0.0,,0.0,,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,,,,0,
0042400404,1610612760,OKC,Oklahoma City,1642349,Ajay Mitchell,Ajay,,DNP - Coach's Decision,,,0.0,,0.0,,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,,,,0,
0042400404,1610612760,OKC,Oklahoma City,1631119,Jaylin Williams,Jaylin,,DNP - Coach's Decision,,,0.0,,0.0,,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,,,,0,
0042400404,1610612754,IND,Indiana,1630174,Aaron Nesmith,Aaron,F,,30.000000:00,104.0,110.7,112.1,112.1,-8.0,-1.4,0.105,2.0,15.4,0.138,0.185,0.161,7.7,0.333,0.405,0.169,0.168,94.08,91.2,76.0,56,0.041
0042400404,1610612754,IND,Indiana,1627783,Pascal Siakam,Pascal,F,,35.000000:01,105.5,108.0,104.4,98.7,1.1,9.3,0.25,5.0,20.0,0.0,0.242,0.114,4.0,0.467,0.54,0.238,0.248,101.19,102.81,85.67,75,0.205
0042400404,1610612754,IND,Indiana,1626167,Myles Turner,Myles,C,,30.000000:27,103.1,106.5,123.2,124.1,-20.1,-17.7,0.105,2.0,12.5,0.037,0.037,0.037,6.3,0.3,0.475,0.2,0.206,96.54,94.59,78.82,62,0.026
0042400404,1610612754,IND,Indiana,1629614,Andrew Nembhard,Andrew,G,,35.000000:52,111.8,116.4,118.1,112.3,-6.2,4.1,0.08,0.5,13.3,0.0,0.071,0.033,26.7,0.556,0.556,0.157,0.163,97.32,97.7,81.41,73,0.028
0042400404,1610612754,IND,Indiana,1630169,Tyrese Haliburton,Tyrese,G,,36.000000:27,107.8,110.3,113.2,113.3,-5.4,-3.1,0.35,1.4,25.0,0.0,0.067,0.032,17.9,0.5,0.551,0.241,0.248,101.97,100.75,83.96,78,0.121
0042400404,1610612754,IND,Indiana,1641767,Ben Sheppard,Ben,,,11.000000:35,92.0,95.8,133.5,137.5,-41.5,-41.7,0.0,0.0,0.0,0.0,0.0,0.0,50.0,1.5,1.5,0.067,0.071,102.96,99.4,82.83,24,-0.024
0042400404,1610612754,IND,Indiana,1630167,Obi Toppin,Obi,,,28.000000:48,93.2,90.6,117.1,115.9,-23.9,-25.2,0.083,0.0,7.1,0.031,0.286,0.132,0.0,0.667,0.618,0.176,0.193,103.83,105.83,88.19,64,0.152
0042400404,1610612754,IND,Indiana,204456,T.J. McConnell,T.J.,,,17.000000:57,81.5,80.0,96.5,97.5,-15.1,-17.5,0.286,2.0,18.2,0.043,0.0,0.023,9.1,0.429,0.508,0.2,0.213,106.55,106.97,89.14,40,0.111
0042400404,1610612754,IND,Indiana,1631097,Bennedict Mathurin,Bennedict,,,13.000000:53,77.3,77.1,93.3,91.4,-16.0,-14.3,0.0,0.0,0.0,0.0,0.133,0.057,14.3,0.75,0.725,0.179,0.195,119.63,121.01,100.84,35,0.109
0042400404,1610612754,IND,Indiana,1628396,Tony Bradley,Tony,,DNP - Coach's Decision,,,0.0,,0.0,,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,,,,0,
0042400404,1610612754,IND,Indiana,1628418,Thomas Bryant,Thomas,,DNP - Coach's Decision,,,0.0,,0.0,,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,,,,0,
0042400404,1610612754,IND,Indiana,1642277,Johnny Furphy,Johnny,,DNP - Coach's Decision,,,0.0,,0.0,,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,,,,0,
0042400404,1610612754,IND,Indiana,1630543,Isaiah Jackson,Isaiah,,DND - Injury/Illness,,,0.0,,0.0,,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,,,,0,
0042400404,1610612754,IND,Indiana,201949,James Johnson,James,,DNP - Coach's Decision,,,0.0,,0.0,,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,,,,0,
0042400404,1610612754,IND,Indiana,1641716,Jarace Walker,Jarace,,DND - Injury/Illness,,,0.0,,0.0,,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,,,,0,
