TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
1610612737,Atlanta Hawks,72,35,37,0.486,48.3,43.1,92.0,0.469,13.2,37.3,0.355,18.1,23.4,0.774,12.0,32.6,44.6,29.4,15.6,9.8,5.3,5.0,19.0,19.3,117.6,-1.8,10,15,15,15,11,7,5,14,15,16,20,3,3,21,8,21,13,2,25,2,9,16,18,5,5,20
1610612738,Boston Celtics,72,53,19,0.736,48.3,41.6,90.0,0.463,17.8,48.2,0.37,15.6,19.5,0.797,11.1,33.7,44.8,25.8,11.8,7.4,5.6,3.7,16.2,17.9,116.6,8.8,10,3,3,3,6,14,13,18,1,1,7,29,29,6,15,11,12,18,1,28,5,1,2,26,7,3
1610612751,Brooklyn Nets,72,23,49,0.319,48.3,37.8,86.1,0.439,13.5,39.0,0.345,16.3,20.7,0.788,11.1,30.1,41.2,25.0,15.1,7.9,4.4,5.7,20.5,18.9,105.3,-6.2,10,25,25,25,11,30,27,28,13,9,27,26,25,12,13,29,29,24,21,21,25,26,26,14,29,26
1610612766,Charlotte Hornets,72,18,54,0.25,48.2,38.5,89.6,0.43,13.3,38.9,0.343,15.5,19.6,0.788,12.5,32.6,45.1,24.4,15.4,7.6,4.6,5.4,19.1,18.3,105.8,-8.2,10,28,28,28,17,28,15,30,14,10,28,30,28,11,5,22,8,26,24,26,21,23,19,23,28,27
1610612741,Chicago Bulls,72,32,40,0.444,48.2,43.0,92.1,0.467,15.6,42.5,0.367,15.6,19.4,0.808,9.9,35.4,45.3,28.9,14.5,7.7,4.8,5.1,17.9,16.7,117.3,-2.4,10,20,20,20,17,9,4,15,3,2,11,28,30,3,25,2,6,6,18,25,18,18,7,30,6,22
1610612739,Cleveland Cavaliers,72,58,14,0.806,48.1,44.5,90.4,0.493,15.8,41.2,0.385,17.3,22.1,0.785,11.0,34.1,45.1,28.3,13.0,8.1,4.3,4.4,18.2,19.0,122.3,10.4,10,2,2,2,27,3,8,2,2,4,1,11,12,15,17,6,9,9,3,13,27,5,13,10,2,2
1610612742,Dallas Mavericks,73,35,38,0.479,48.1,42.2,88.3,0.478,12.8,34.9,0.367,17.8,22.9,0.777,10.3,32.8,43.1,25.3,13.9,7.9,5.5,4.7,18.0,18.7,115.1,-0.3,1,15,18,18,24,11,20,10,21,25,12,5,6,18,23,19,22,22,9,20,6,12,8,18,12,16
1610612743,Denver Nuggets,73,45,28,0.616,48.3,45.5,90.0,0.505,12.1,31.9,0.38,17.6,22.8,0.772,11.4,34.2,45.6,31.0,14.3,8.1,4.8,5.3,17.8,18.8,120.7,3.7,1,5,6,6,9,1,11,1,28,30,4,7,8,23,10,4,4,1,17,15,17,21,6,15,3,8
1610612765,Detroit Pistons,73,41,32,0.562,48.3,42.8,89.5,0.478,12.7,35.1,0.363,17.1,22.0,0.776,11.3,33.8,45.1,26.5,15.2,8.1,5.2,4.9,20.5,18.7,115.4,2.6,1,10,13,13,13,10,18,9,22,24,14,16,14,19,11,7,7,14,22,14,11,15,27,17,11,10
1610612744,Golden State Warriors,72,41,31,0.569,48.1,40.7,90.6,0.449,15.2,42.1,0.362,16.4,21.7,0.754,12.5,33.0,45.5,29.0,14.1,9.1,5.0,5.5,19.4,18.3,113.0,2.0,10,10,10,10,27,21,6,26,4,3,16,23,18,27,4,16,5,5,14,5,14,25,23,22,18,12
1610612745,Houston Rockets,73,47,26,0.644,48.3,42.0,93.2,0.451,12.4,35.7,0.347,17.2,23.2,0.741,14.8,33.8,48.6,22.8,14.0,8.4,5.0,5.8,19.2,19.6,113.6,4.5,1,4,4,4,13,12,2,25,25,20,24,15,5,30,1,8,1,29,13,10,13,28,21,3,16,5
1610612754,Indiana Pacers,71,42,29,0.592,48.4,43.4,88.8,0.489,13.0,35.2,0.368,16.8,21.2,0.791,8.9,32.3,41.3,29.1,13.5,8.5,5.2,4.4,19.0,18.6,116.6,1.4,24,9,9,9,5,6,19,3,18,23,8,18,21,10,29,24,28,3,8,9,12,9,17,20,8,13
1610612746,LA Clippers,71,40,31,0.563,48.3,41.1,86.3,0.476,12.3,33.7,0.364,17.3,21.8,0.794,10.4,33.4,43.8,25.0,15.2,9.5,4.6,4.4,18.4,17.9,111.8,3.3,24,13,10,11,10,18,25,12,26,28,13,10,15,7,22,13,20,25,23,3,20,9,14,27,21,9
1610612747,Los Angeles Lakers,71,43,28,0.606,48.1,40.9,85.5,0.478,12.9,35.8,0.359,18.1,23.2,0.782,9.7,32.9,42.6,26.2,13.9,7.7,4.5,4.2,17.1,19.2,112.7,0.7,24,8,6,8,21,19,30,11,19,19,17,2,4,16,26,18,26,16,12,24,22,4,5,6,19,14
1610612763,Memphis Grizzlies,72,44,28,0.611,48.1,45.0,93.6,0.481,13.8,37.5,0.367,18.6,23.6,0.785,13.2,34.3,47.5,28.8,15.8,8.9,5.8,5.7,21.0,20.4,122.4,5.6,10,7,6,7,27,2,1,5,11,13,10,1,1,13,2,3,2,7,27,6,3,26,29,2,1,4
1610612748,Miami Heat,72,31,41,0.431,48.6,39.8,86.2,0.461,13.6,37.5,0.362,16.2,20.4,0.792,9.4,33.5,42.9,26.2,13.9,7.9,3.8,4.7,15.7,17.1,109.2,-1.1,10,22,22,23,1,25,26,19,12,14,15,27,26,9,27,12,25,15,11,18,30,13,1,29,26,19
1610612749,Milwaukee Bucks,71,40,31,0.563,48.1,41.6,86.6,0.48,14.1,36.9,0.381,17.2,22.9,0.752,8.5,35.4,43.9,25.1,13.5,7.4,4.7,4.0,18.1,19.0,114.4,2.3,24,13,10,11,26,15,24,8,8,18,3,14,7,28,30,1,19,23,7,27,19,2,10,12,14,11
1610612750,Minnesota Timberwolves,73,41,32,0.562,48.3,40.6,87.4,0.465,15.1,39.9,0.378,17.2,21.8,0.793,10.9,33.0,43.9,26.0,14.5,8.2,4.8,4.7,18.1,19.1,113.5,4.2,1,10,13,13,13,22,22,17,5,5,5,12,17,8,18,17,18,17,19,12,16,11,9,8,17,7
1610612740,New Orleans Pelicans,73,20,53,0.274,48.2,40.8,90.0,0.454,12.2,34.8,0.351,16.6,22.0,0.756,12.2,31.2,43.3,25.8,14.5,8.7,5.4,5.4,18.2,18.0,110.6,-8.6,1,27,27,27,19,20,12,23,27,26,22,20,13,26,7,27,21,19,19,8,7,22,12,25,23,29
1610612752,New York Knicks,71,45,26,0.634,48.5,43.6,89.5,0.487,12.6,34.1,0.368,16.7,20.9,0.801,10.9,32.1,42.9,27.4,13.2,8.1,4.0,5.0,17.1,19.0,116.5,4.3,24,5,4,5,3,5,17,4,24,27,9,19,24,5,19,25,24,11,4,16,29,17,4,11,9,6
1610612760,Oklahoma City Thunder,72,60,12,0.833,48.1,44.4,92.4,0.481,14.5,38.8,0.372,16.6,20.2,0.82,10.7,34.2,44.9,26.8,11.9,10.4,5.8,4.8,20.0,18.2,119.8,12.9,10,1,1,1,27,4,3,7,6,11,6,21,27,1,21,5,11,12,2,1,4,14,24,24,4,1
1610612753,Orlando Magic,73,35,38,0.479,48.1,38.0,85.9,0.442,11.0,35.3,0.312,18.1,23.4,0.773,11.2,30.6,41.8,22.8,14.2,8.8,6.0,4.4,20.6,20.6,105.1,-1.0,1,15,18,18,24,29,29,27,30,22,30,4,2,22,12,28,27,30,16,7,1,7,28,1,30,17
1610612755,Philadelphia 76ers,72,23,49,0.319,48.3,39.7,87.1,0.455,12.8,37.1,0.346,17.8,22.7,0.785,10.2,29.0,39.2,23.0,13.5,9.4,4.3,5.2,19.3,19.0,110.0,-5.6,10,25,25,25,6,26,23,22,20,17,26,6,9,14,24,30,30,28,6,4,28,19,22,9,25,25
1610612756,Phoenix Suns,72,35,37,0.486,48.4,41.3,86.0,0.481,14.4,37.6,0.384,17.5,21.5,0.811,9.3,33.7,43.0,28.1,14.1,7.1,5.0,4.0,18.1,18.9,114.6,-1.0,10,15,15,15,4,16,28,6,7,12,2,8,19,2,28,9,23,10,14,29,15,3,11,13,13,18
1610612757,Portland Trail Blazers,73,32,41,0.438,48.2,40.5,89.6,0.452,13.0,37.5,0.348,17.0,22.2,0.766,13.0,31.4,44.4,23.8,16.0,8.1,5.3,5.4,19.1,19.1,111.0,-3.3,1,20,22,21,19,23,16,24,17,15,23,17,11,25,3,26,14,27,29,17,8,24,20,7,22,23
1610612758,Sacramento Kings,72,35,37,0.486,48.6,43.1,90.5,0.476,12.7,35.7,0.355,17.2,21.3,0.805,11.0,33.2,44.2,26.8,13.4,7.7,4.5,4.4,18.9,18.6,116.0,0.2,10,15,15,15,2,8,7,13,23,21,19,13,20,4,16,15,15,13,5,23,24,8,15,19,10,15
1610612759,San Antonio Spurs,71,31,40,0.437,48.1,41.9,89.8,0.466,14.1,39.5,0.356,16.5,21.2,0.775,11.1,32.8,43.9,29.0,13.9,8.3,5.9,4.4,16.6,17.7,114.3,-1.9,24,22,20,22,21,13,14,16,8,6,18,22,21,20,14,20,17,4,10,11,2,6,3,28,15,21
1610612761,Toronto Raptors,72,25,47,0.347,48.3,41.3,90.0,0.458,11.5,33.2,0.346,16.3,21.8,0.75,12.5,32.5,45.0,28.3,15.7,7.9,4.4,5.9,21.5,18.7,110.4,-5.3,10,24,24,24,6,17,10,20,29,29,25,24,16,29,5,23,10,8,26,19,26,29,30,16,24,24
1610612762,Utah Jazz,73,16,57,0.219,48.3,40.2,88.1,0.457,13.9,39.3,0.354,17.5,22.7,0.77,11.9,33.7,45.6,25.6,17.5,6.5,4.5,6.3,19.0,19.5,111.9,-8.2,1,29,30,29,13,24,21,21,10,7,21,9,10,24,9,10,3,20,30,30,23,30,16,4,20,28
1610612764,Washington Wizards,71,15,56,0.211,48.1,39.5,90.2,0.438,13.2,39.3,0.335,16.3,21.0,0.78,10.8,33.4,44.1,25.4,15.9,7.8,5.3,5.3,20.0,18.6,108.6,-11.9,24,30,29,30,21,27,9,29,16,8,29,25,23,17,20,14,16,21,28,22,10,20,25,20,27,30
